Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18300377,00000461,false,Rx,0,8,8B,0A,1B,0B,BB,13,0B,14,
18301247,00000471,false,Rx,0,8,8B,11,0B,11,0B,10,0B,12,
18302251,00000300,false,Rx,0,8,00,00,00,00,00,00,00,00,
18303225,000007E1,false,Rx,0,8,CC,A5,00,00,00,00,00,B5,
18304007,00000310,false,Rx,0,5,00,00,00,00,00,00,00,00,
18310636,00000463,false,Rx,0,8,8B,0E,1B,10,BB,1B,0B,1D,
18311555,00000473,false,Rx,0,8,8B,1C,0B,1E,0B,1C,0B,1A,
18312541,000007E3,false,Rx,0,8,C0,00,00,00,00,00,00,06,
18315454,00000464,false,Rx,0,8,8C,C5,1C,C7,BC,D5,0C,D4,
18316353,00000474,false,Rx,0,8,8C,D3,0C,D5,0C,D4,0C,D3,
18317317,000007E4,false,Rx,0,8,CC,B5,00,00,00,00,00,C8,
18325694,00000466,false,Rx,0,8,8C,6E,1C,6D,BC,78,0C,7A,
18326604,00000476,false,Rx,0,8,8C,7A,0C,78,0C,77,0C,76,
18327598,000007E6,false,Rx,0,8,C0,00,00,00,00,00,00,09,
18350197,00000468,false,Rx,0,8,8C,A3,1C,A4,BC,AB,0C,AA,
18351097,00000478,false,Rx,0,8,8C,A9,0C,A9,0C,AA,0C,AB,
18352061,000007E8,false,Rx,0,8,CC,92,00,00,00,00,00,A9,
18360844,0000046A,false,Rx,0,8,8C,B2,1C,B2,BC,B8,0C,B8,
18361744,0000047A,false,Rx,0,8,8C,B8,0C,B8,0C,B7,0C,B7,
18362738,000007EA,false,Rx,0,8,C0,00,00,00,00,00,00,0D,
18369707,0000046C,false,Rx,0,6,8B,10,1B,12,BB,1B,00,00,
18370495,0000047C,false,Rx,0,6,8B,1B,0B,1C,0B,1B,00,00,
18371490,000007EC,false,Rx,0,8,CC,BB,00,00,00,00,00,D6,
18373851,0000046D,false,Rx,0,6,8C,99,1C,98,BC,A1,00,00,
18374659,0000047D,false,Rx,0,6,8C,A0,0C,9F,0C,A0,00,00,
